name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
rexburg id,2022-04-01,48.8,27,38.6,44.1,23.9,34.5,20.3,50.3,0,0,0,,0,0,20.8,13.8,205.6,1016.7,10.4,9.9,187.9,16.2,7,10,2022-04-01T07:08:18,2022-04-01T19:54:19,0,Clear,Clear conditions throughout the day.,clear-day,"72036904135,AHTI,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-02,60.2,29,43.5,60.2,23.9,41.7,17.3,42.5,0,0,0,,0,0,50,31.1,254.5,1015.3,18.7,9.9,209.5,18.2,8,10,2022-04-02T07:06:31,2022-04-02T19:55:31,0.05,Clear,Clear conditions throughout the day.,wind,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-03,55.1,24.2,41,55.1,21.5,39.6,12.2,36.9,0,0,0,,0,0,27.7,17.9,234.6,1017.6,0,9.9,244.8,21.2,8,10,2022-04-03T07:04:44,2022-04-03T19:56:43,0.08,Clear,Clear conditions throughout the day.,clear-day,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-04,48.8,29,42,41.5,22.9,35,23.9,51.4,0,0,0,,0,0,56.4,31.1,233.9,1004.6,53,9.9,77.8,6.9,4,10,2022-04-04T07:02:57,2022-04-04T19:57:56,0.11,Partially cloudy,Partly cloudy throughout the day.,wind,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-05,43.1,29.9,36.6,35.5,22.5,29.3,7.3,31.8,0,0,0,,0,0,35,20.3,303.9,1013,51.9,9.9,201.7,17.3,8,10,2022-04-05T07:01:11,2022-04-05T19:59:08,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-06,48.8,21.8,35.2,45.9,13.8,29.4,7.8,35.4,0,0,0,,0,0,24.4,19.1,226.4,1029.4,0,9.9,264,22.7,8,10,2022-04-06T06:59:25,2022-04-06T20:00:20,0.18,Clear,Clear conditions throughout the day.,clear-day,"72036904135,AHTI,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-07,59,20.9,41.9,59,14.4,39.2,13.3,36.3,0,0,0,,0,0,19.5,11.4,173.6,1032.4,0,9.9,259.9,22.4,8,10,2022-04-07T06:57:39,2022-04-07T20:01:32,0.21,Clear,Clear conditions throughout the day.,clear-day,"72036904135,AHTI,ROB,SUG,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-08,69.2,28.1,49.3,69.2,21.8,47.7,21.5,40.3,0,0,0,,0,0,29.1,13.9,192.1,1021.1,1.2,9.9,240.2,20.8,8,10,2022-04-08T06:55:54,2022-04-08T20:02:44,0.24,Clear,Clear conditions throughout the day.,clear-day,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-09,54,32,41.9,54,21.9,36.2,21,44.4,0,0,0,,0.5,0,52.8,24.2,219.7,1010.5,51.9,9.6,171.7,14.6,7,10,2022-04-09T06:54:09,2022-04-09T20:03:56,0.25,Partially cloudy,Becoming cloudy in the afternoon.,snow,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-10,42.1,26.9,33.9,34.1,17.1,25.5,13.5,44.7,0,0,0,,1.9,1.1,44.5,28.8,227.6,1010.4,79.2,9.9,160.2,13.9,7,10,2022-04-10T06:52:25,2022-04-10T20:05:08,0.31,Partially cloudy,Partly cloudy throughout the day.,snow,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-11,38.9,30.8,33.8,30.6,18.2,25.7,26.9,76.3,0.145,100,33.33,"rain,snow",0.8,0.2,37.8,21,202.3,999.3,99.1,7.2,84.1,7.3,4,10,2022-04-11T06:50:41,2022-04-11T20:06:20,0.34,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-12,35,23,28.7,26.9,11.3,18.2,15.7,59.5,0,0,0,,0.1,0.4,40.3,23,270.1,1004.6,86.8,8.4,149.3,12.9,6,10,2022-04-12T06:48:59,2022-04-12T20:07:33,0.37,Partially cloudy,Partly cloudy throughout the day.,snow,"72036904135,AHTI,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-13,34.1,12.8,24.8,30.2,0.6,17,9.2,52.1,0,0,0,,0,0,24.2,12.7,104.5,1015.6,51.7,9.8,214,18.5,8,10,2022-04-13T06:47:16,2022-04-13T20:08:45,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72036904135,AHTI,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-14,44,29,34.4,37,18.1,26.5,26.5,73.9,0.063,100,12.5,"rain,snow",0.9,0.2,34.4,18.3,212.6,1010.1,94.9,8.6,114,9.9,5,10,2022-04-14T06:45:34,2022-04-14T20:09:57,0.43,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,snow,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-15,44.9,33.2,38,36.3,23.9,29.6,23.7,60.2,0,0,0,,0,0,43.2,27.7,230.2,1011.4,80.4,9.9,154.2,13.3,5,10,2022-04-15T06:43:53,2022-04-15T20:11:09,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-16,59,32,42.5,59,25.6,38.5,28.1,59.3,0.012,100,4.17,rain,0,0,43.8,25.3,209.6,1009.2,80.8,9.9,163.8,14.1,7,10,2022-04-16T06:42:13,2022-04-16T20:12:21,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-17,50,29.9,39.8,43.2,20.4,32.2,18.5,46,0,0,0,,0,0,39.1,23,226.6,1020.4,29.2,9.9,201.1,17.3,7,10,2022-04-17T06:40:34,2022-04-17T20:13:33,0.53,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-18,65.9,30.8,49.8,65.9,27.5,48.2,23.8,41,0,0,0,,0,0,30.6,18.5,203.2,1016.2,7.9,9.9,237.8,20.5,8,10,2022-04-18T06:38:55,2022-04-18T20:14:45,0.57,Clear,Clear conditions throughout the day.,clear-day,"72036904135,ROB,SUG,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-19,55.1,38,47.3,55.1,30.6,41.4,24.8,42.1,0,0,0,rain,0,0,41.4,24.2,213.7,1005.2,34.5,9.9,98,8.4,4,10,2022-04-19T06:37:17,2022-04-19T20:15:57,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72036904135,ROB,SUG,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-20,56,36,44.7,56,26.3,39.5,22.9,46.1,0,0,0,,0,0,33.3,19.7,213.3,1011.1,51.2,9.9,237.6,20.3,8,10,2022-04-20T06:35:40,2022-04-20T20:17:09,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-21,61,35.9,49.3,61,30.3,48,26.7,43.9,0,0,0,,0,0,27.5,15,229.4,1007.4,59.7,9.9,124.6,10.7,6,10,2022-04-21T06:34:04,2022-04-21T20:18:21,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-22,47,38.9,42.2,47,32.7,38.7,34.2,73.9,0.28,100,50,rain,0,0,30,10.3,301.2,1007.2,100,9.4,47,4.1,2,10,2022-04-22T06:32:28,2022-04-22T20:19:33,0.71,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72036904135,ROB,SUG,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-23,52,38,43.9,52,32.1,40.7,23.6,45.9,0,0,0,,0,0,27.7,14.9,347.1,1016.3,89.7,9.9,147.1,12.7,7,10,2022-04-23T06:30:54,2022-04-23T20:20:45,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-24,53,28.1,42.2,53,23.9,40.5,22.5,50.7,0,0,0,,0,0,9.8,16,341.2,1023,40.8,9.9,275.4,23.7,9,10,2022-04-24T06:29:20,2022-04-24T20:21:57,0.78,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72036904135,ROB,SUG,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-25,59,29.9,45.7,59,26.5,44.7,23.7,48.1,0,0,0,,0,0,26.4,17.9,246.3,1022.9,14.3,9.8,257.4,22.4,9,10,2022-04-25T06:27:48,2022-04-25T20:23:08,0.82,Clear,Clear conditions throughout the day.,clear-day,"72036904135,ROB,SUG,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-26,62.9,35.9,50,62.9,31,48.6,25.3,41.8,0,0,0,,0,0,36.7,23,231.2,1014.5,34.3,9.9,156.6,13.5,5,10,2022-04-26T06:26:17,2022-04-26T20:24:20,0.85,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"AHTI,72036904135,SUG,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-27,56.9,33.2,47.8,56.9,30.2,46,33.9,59.6,0.051,100,4.17,rain,0,0,29.4,20.3,218.9,1012.3,30.8,9.8,158.1,13.8,6,10,2022-04-27T06:24:47,2022-04-27T20:25:32,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-28,51.2,33.1,43.5,51.2,30,39.9,32.9,66.8,0.031,100,4.17,rain,0,0,34.9,15,66.3,1009.7,47.3,9.9,93,8.1,5,10,2022-04-28T06:23:17,2022-04-28T20:26:43,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72036904135,AHTI,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-29,52,34.1,43.6,52,23.1,38.1,28.5,58.3,0.012,100,8.33,"rain,snow",0.4,0,35.6,21,246.7,1015.1,87.5,9.4,178.7,15.4,7,10,2022-04-29T06:21:50,2022-04-29T20:27:54,0.96,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"72036904135,ROB,SUG,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2022-04-30,60.2,29.9,46.5,60.2,29.9,45.3,27.5,51.1,0,0,0,,0,0,25.3,16.1,204.8,1017.8,41,9.9,252.3,21.8,8,10,2022-04-30T06:20:23,2022-04-30T20:29:05,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72036904135,ROB,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
